2200,MOUNTING FRAME 1G MK
5153037651,LED CANDLE NON-DIM 5.6W E27  ENERGETIC
5821551451,LAMP    5.5W B15 MINIGLOBE  CLEAR DIMMABLE 2700K ENERGETIC
5831551251,LAMP    5.5W E27 CANDLE CLEAR  DIMMABLE 2700K LED ENERGETIC
71040,LAMP   15W E27 COOL WHITE CFL  840 FOR GE DOT9215
73416,VIRIBRIGHT 8W LED DIMMABLE BC
74678,LAMP   15W E27 COLOUR 827 CFL  WARM WHITE FOR GE DOT9215
750087,LAMP    4.2W GU10 140 DEGREE  310LM 2700K LED DIMM VIRIBRIGH
BFK20,FLY KILLER 20W 230V COVERS 55  SQ MTRS 2x10w LAMPS CED
C16546,COUPLER 5P 16A 380V IP67 ESR
CL30M20WE,CLIPSAL 20A 2W MECHANISM ONLY
CLE15,CLIPSAL 1G 13A SWITCHED SOCKET  E15WE
CLE15BK,CLIPSAL 1G 13A SWITCHED SOCKET  BLACK
CLE312X,CLIPSAL 2G BLANK PLATE
CLE322SAWE,CLIPSAL 2G 2W PLATE SWITCH
CLE32TV75,CLIPSAL 2G COAX OUTLET
CLE33,CLIPSAL 3G GRID PLATE
CLE35,CLIPSAL 5G GRID PLATE E35WE
CLE3523SAWE,SWITCH 5G 2W CLIPSAL
CLE93,CEILING ROSE 3 PLATE CLIPSAL
EVO0027,LAMP    6W GU10 LED DIMMABLE  4000K EVO LIGHT 500 LUMEN
EVO00273,LAMP    6W GU10 LED DIMMABLE  4000K EVO LIGHT 500LM 3 PACK
EVO0032,LAMP    4W R63 LED REFLECTOR  COLOUR 4000K EVO
EVO0052,LAMP   12W E27 LED CORN 4000K  EVO LIGHT
EVO0063,LAMP    5W E14 LED GOLF 2700K  DIMMABLE 400 LUMEN EVO LIGHT
EVO6221,LAMP   18=25W SBC CLEAR CANDLE  HALOGEN COLOUR 3000K EVOLIGHT
EVO6430,LAMP   28W=40W SES CLEAR GOLF  HALOGEN COLOUR 3000K EVOLIGHT
EVO6618,LAMP   18W=25W G9 230V CLEAR  EVO
EVO6950,LAMP   28W=40W E14 REFLECTOR  R50 HALOGEN EVO
F789W,LAMP    9W CFL LAMP FOR 150W  HALOGEN LRJ789F
GCBR012B,BRASS 2G 2W 10A SWITCH BLACK  INSERT CLICK
GCBR013B,BRASS 3G 2W 10A SWITCH BLACK  INSERT CLICK
GWPIU3060,GET 2G 13A SOCKET IP66
HLO0060,LAMP    7W=60W B22 LED 230V  A60 COLOUR 3K HALO 3 PACK
HLO6128,LAMP   28W=40W BC GLS HALOGEN  CLEAR COLOUR 3000K HALO
HLO6221,LAMP   18W=25W SBC CLEAR CANDL  E HALOGEN COLOUR 3000K HALO
HLO6229,LAMP   28W=40W ES CLEAR CANDLE  HALOGEN COLOUR 3000K HALO
HLO6328,LAMP   42W=60W ES CLEAR CANDLE  HALOGEN COLOUR 3000K HALO
HLO6428,LAMP   28W=40W BC GOLF CLEAR H  ALOGEN COLOUR 3000K HALO
HLO6431,LAMP   28W=40W SBC GOLF CLEAR  HALOGEN COLOUR 3000K HALO
HLO6614,LAMP   15W E14 PYGMY 230V HALO
HLO6615,LAMP   15W B15 PYGMY 230V HALO
HLO6920,LAMP   20W GU10 230V HALO
HLO6980,LAMP REFLECTOR HALOGEN R80 E27  230v 72w = 100w HALO
HLO7010,FLOODLIGHT  10W LED 800 LUMENS  HALO PURE WHITE
HLO7207,LAMP    7W G23 PL 2 PIN COLOUR  230V 4000K HALO
HLO7209,LAMP    9W G23 PL 2 PIN COLOUR  230V 4000K HALO
HLO724WT8,FLUORESCENT 24W T8 LED LAMP  1500mm HALO 2250 lumens
HLO7322,LIGHT LED BULKHEAD SQUARE BLAC  K BASE 14W 1000LM 6500K HALO
HLO7323,LIGHT LED BULKHEAD SQUARE WHIT  E BASE 14W 1000LM 6500K HALO
HLO7370,FLOODLIGHT  70W SON COMPLETE  WITH LAMP BLACK POLYCARB HALO
HLO7626,LAMP   26W 4PIN PLT 230V GX24Q  COLOUR 4000K HALO
HLO7724,LAMP   24W R7S 230V 117mm  COLOUR 4000K HALO
HLO7814,FLUORESCENT LAMP T5 14W 549mm  230V COLOUR 4000K HALO
HLO7835,FLUORESCENT LAMP T5 35W 1449mm  230V COLOUR 4000K HALO
HQI150N70W,FLOODLIGHT  70W PVC M\H IP65
HQI201STBL1G000,POLE TOP LIGHT  80W INDUCTION
HQI201STBL1GPA0,POLE TOP LIGHT 120W INDUCTION
JL170548,JOHNSON 1200MM BOS BEAM LEVEL
LED140,COAST POCKET PLIERS C/W TORCH
LG9098MBUSB,SOCKET 2G 13A METALCLAD SW WITH 1x2.1A & 1x1A USB PORT SELECTRIC
N7240030,RCD 2P 40A  30MA ME GROUP
N7263030,RCD 2P 63A  30MA ME GROUP
PR4800,WASP TRAP
S73PC16,MCB 3P  16A C CURVE ME GROUP
S73PC25,MCB 3P  25A C CURVE ME GROUP
SNL32B25030,RCBO 2P 25A 30MA ME GROUP
SNL32B32030,RCBO 2P 32A 30MA ME GROUP
SNL32B40030,RCBO 2P 40A 30MA ME GROUP
30308,EXACT DRILL AND TAP M12 SGE BI
CB640,COACH SCREW 6 x 40mm 10 per ba  g
CEDFSSK1B,FLAT 1G 13A SW SKT BRUSHED CHR  OME BLACK INSERT CED
CLE30FSG,CLIPSAL 13A FUSE OUTLET
CLE36,CLIPSAL 6G GRID PLATE ET36WE
QRC6,CABLE CLIP ROUND WHITE  5-7mm  BOX 100 UNICRIMP
6092036,FELO 20 PCE EXT SOCKET SET  IMPERIAL
10101,FLUSH BOX 2G 20mm PVC
10482,LAMP PYGMY SES LED 1.3W E14  COOL WHITE CROMPTON
10880,MOTION DETECTOR LUXOMAT  ARC EXTINCTION KIT
162258EVG,SCHUCH 2x58W CORRSIVE PROOF  FITTING C\W HIGH FREQ BALLAST
18341,MCB 1P  80A TYPE B C120N  MERLIN GERIN
20215TB,THROUGHBOLT M20x215mm TIMCO
208425,AUGER BIT 25x230
214215,HSS 1-13MM DRILL BIT SET
224201,WAGO 2 WAY CONNECTOR
230055,LAMP    4W B22 A60 400LM 2700K  PYGMY
230102,LAMP    3.5W E14 2700K CLEAR  GOLF
230232,LAMP    3W GU10 230V 230LM  3000K GMY
230295,LAMP    3W GU10 230V 250LM  3000K GMY
230296,LAMP    3W GU10 250LM 6500K  230V GMY
230298,LAMP    5.5W GU10 230V 450LM  6500K GMY
260003,LAMP    5W GU10 230V 380LM  3000K GMY
305625116,LIGHT 2D 16W 230V LUNA IP65  CHROME TAKES 2PIN LAMP EXTRA
31600128,LAMP   20W E27 CFL 6500K  COOL WHITE PHILIPS FOR DOT9220
31600131,LAMP   20W E27 CFL COLOUR 827  WARMWHITE PHILIPS FOR DOT9220W
37661,CRIMP LEGRAND 0.5mm  STARFIX
37662,CRIMP LEGRAND 0.75mm STARFIX  PER 480
37664,CRIMP LEGRAND 1.5mm  STARFIX  PER 1000
37666,CRIMP LEGRAND 2.5mm  STARFIX  PER 100
37667,CRIMP LEGRAND 4.0mm  STARFIX  PER 100
3F111,LIGHT 3F FILIPPI 1x11W C/W LAM  P 5260
3F118,3F FILIPPI LINDA FLUORESCENT 1x18W 2FT IP65 5200 S\SBRACKET
3F211,3F FILIPPI LINDA PL FITTING 2x11w 5262
3F280,3F FILIPPI LINDA FLOURSCENT IP65 2x80w1500mmS\SBRACKET& CLIP
48255280,MILWAUKEE SELF FEED BITS FEED SCREW
4932269401,MILWAUKEE KEYED CHUCKS 1.0-10 HALF INCH
4932363142,MILWAUKEE BORING BIT 26x152mm
4TE1,TWIN & EARTH 4MM BLUE BROWN  & EARTH - CARDBOARD SPOOL
51008291,WAGO BOX JUNCTION FOR 222 & 77  3 RANGE
5100913,WAGO BOX FIXING BUTTON PACK 10
5111421351,LAMP    4.2W B22 FILAMENT  A SHAPE
51312608,WAGO BOX CAPSULE
5722051151,LAMP    5W E14 MINIGLOBE FROST  LED 2700K
702491,SURGE ARRESTOR DIN RAIL MNTD  1 PHASE 40KA
73638,DOWNLIGHT LED 8W WARM WHITE 28  00K A RATED 550LM 230V 25000HR
773108,WAGO 8x2.5mm CONNECTOR
87425,BEGHELLI LED FLOODLIGHT 30W C/  W PIR IP65 2800/2650LM
8807250,KNIPEX PIPE GRIPS 250mm 10  NO.7 FINISH
99805500,LIGHT REFLECTOR FOR 2x49/58W  DISANO
AIWL716,LIGHT 2D 16W WHITE OPAL MINI  SQUARE
ALWL728,LIGHT 2D 28W MIDI SQUARE WHITE  OPAL ASD
AMSWP716,LIGHT MINISQUARE WHITE PRISMAT  IC 2D 16W C/W LAMP ASD
BH10GLBC,BULKHEAD 100W BC OVAL COUGHTRI  E
BH24BPIR,BULKHEAD WITH PIR E27  INCLUDES 23W CFL = 100W
CEDCSD45N,CED 2G 45A D/P COOKER SWITCH  C/W NEON
CEDFRJ11B,FLAT 1G TELEPHONE SKT BRUSHED  CHROME BLACK INSERT CED
CEDFS32B,FLAT 3G 2W SW BRUSHED CHROME  BLACK INSERT CED
CEDTVS2,CED 2G CO AXIAL OUTLET
CL12ES,LAMP   12W ES CORN 4000K LED
CL30MBPWE,CLIPSAL BELL PUSH MECHANISM
CL30MD20WE,GRID SWITCH 1G 20A D\P CLIPSAL
CL30MIBK,CLIPSAL INTERMEDIATE MECHANISM  BLACK
CL30MIWE,GRID SWITCH INTERMEDIATE  CLIPSAL
CL30NGR,CLIPSAL GREEN NEON MODULE
CL30NRD,CLIPSAL PILOT LIGHT LENS GRID
CL30RJ45MA5SHWE,CLIPSAL RJ45 MODULE
CL30TV75MS,CLIPSAL 75A OHM TV SOCKET GRID  30TV75MSWE
CL32E450LMWE,CLIPSAL 400VA GRID DIMMER
CL701,ARCHITRAVE 1G BOX GRID CLIPSAL  701WE
CL9WE,CLIPSAL GRID MECH'SCREW COVER
CLE1515,CLIPSAL 1G 15A SWITCHED SOCKET
CLE3112SA,CLIPSAL 1G 1W SWITCH COMPLETE  E311SAWE
CLE312SAWE,CLIPSAL 1G 2W PLATE SWITCH
CLE312XBK,CLIPSAL 2G BLANK PLATE BLACK
CLE31IAWE,CLIPSAL 1G 10A INTERMEDE SW  E31IAWE
CLE31TV75BK,CLIPSAL 1G COAXIAL TV OUTLET  BLACK
CLE31TV75WE,CLIPSAL 1G COAX OUTLET
CLE31XBK,CLIPSAL 1G BLANK PLATE BLACK
CLE31XWE,CLIPSAL 1G BLANK PLATE
CLE332SABK,CLIPSAL 3G 2W 10A SWITCH BLACK
CLE3423SA,CLIPSAL 4G 2W PLATE SWITCH
CLED45N,CLIPSAL 1G 45A COOKER SWITCH  WITH NEON ED45N SCHNEIDER
DST25,DOUBLE SIDED TAPE 25mm
EB5X1NWG,LAMP   11W ES LED 1521lm ENERG  ETIC
EC6P4DWG,LAMP    4.8W B15 CANDLE 2700K  DIM FILAMENT 470LM ENERGETIC
EC900012,PATCH PANEL 48 PORT CAT5E  EURO CONNECT
EGG1,GARDINIA GARDEN CHAIR
EGUJD5DW,LAMP    4.9W GU10 LED 345LM  2700K DIMMABLE ENERGETIC
ELITE70,LIGHT EURO LITE 70W SURFACE  M/H FITTING INCLUDING GEAR
EMG6P1DWG,LAMP    4.8W E27 GOLF 2700K  DIM FILAMENT 470LM ENERGETIC
EVO0048,LAMP    5W B15 LED CANDLE 2700  K 400 LUMEN EVO LIGHT
F70MH,FLOODLIGHT  70W METAL HALIDE  C\W LAMP
FK6L,LAMP    6W FOR FK6 FLY KILLER  U SHAPE CED
FOC,FOC NO CHARGE
FPL16P,LIGHT 2D 28W WORK LIGHT C/W  LAMP
GCBR011B,BRASS 1G 2W 10A SWITCH BLACK  INSERT CLICK
GCBR019B,BRASS 4G 2W 10A SWITCH BLACK  INSERT
GCBR023B,BRASS 1G 20A D\P SW C\W NEON  BLACK INSERT
GCBR038B,BRASS 5A G SOCKET BLACK INSERT
GCBR052B,BRASS 13A FUSED CONNECTION UNI  T SWITHCED C\W NEON BLACK INSE
GCBR053B,BRASS 13A FUSED CONNECTION UNI  T C\W NEON BLACK INSERT CLICK
GCBR060,BRASS 1G BLANK PLATE CLICK
GCBR061,BRASS 2G BLANK PLATE CLICK
GCBR105B,BRASS 6G 2W 10A SWITCH BLACK  INSERT CLICK
GCBR115B,BRASS 1G IRISH TELEPHONE SKT  BLACK INSERT CLICK
GCBR117B,BRASS 1G RJ45 COMPUTER SKT BLA  CK INSERT CLICK
GCBR152,BRASS 2G 2W 400W DIMMER CLICK
GCBR158B,BRASS 1G TV SKT BLACK INSERT  CLICK
GCBR201B,BRASS 1G 45A COOKER SW C\W NEO  N CLICK
GCBR203B,BRASS 2G 45A COOKER SW C\W NEO  N CLICK
GW84201,GEWISS LIGHT HALOGEN 500W IP55  GENIUS RANGE
HL0724WT8T5,FLUORESCENT TUBE T8 T5 pins  1449mm 24w 2000 lumens
HLO5530,LAMP 5W BC 60mm GLOBE CFL HALO  LIGHT 5w=25w 10000hr
HLO6990,LAMP  175W 230V INFRA RED HEAT  LAMP HALO
HLO7021,FLOODLIGHT  20W LED W/PIR 155  00 LUMEN HALO
HLO7031,FLOODLIGHT  30W LED W/PIR 2300  LUMEN HALO
HLO722WT8,LED TUBE 10W FITTING T8 IP65  C\W 2MTR FLEX 1000LM 2FT
HLO723WT8,LED TUBE 15W T8 FITTING IP65  C\W 2MTR FLEX 1400LM 3FT
HLO7250T8,FLUORESCENT TUBE 23W LED 2400L  M T8 1500MM COLOUR 6500K HALO
HLO7325,FLOODLIGHT 250W METAL HALIDE  C\W LAMP & GEAR HALO
HLO7340,FLOODLIGHT 400W METAL HALIDE  C\W LAMP & GEAR HALO
HLO7407,FLOODLIGHT  70W METAL HALIDE  C\W LAMP HALO
HLO7408,FLOODLIGHT 150W METAL HALIDE  C\W LAMP HALO
HLO7410,HIGH BAY 400W METAL HALIDE C\W  GEAR & LAMP HALO
HLO7821,FLUORESCENT LAMP T5 21W 549mm  230V COLOUR 4000K HALO
HLO7849,FLUORESCENT LAMP T5 49W 1449mm  230V COLOUR 4000K HALO
HLO7854,FLUORESCENT LAMP T5 54W 1149mm  230V COLOUR 4000K HALO
HQI201ST40,POLE TOP LIGHT  40W INDUCTION
HTQPF10WS27B22,LAMP   10W B22 LED IP65 2700K  DIMMABLE BEKEN 950lm
HTQPF10WSWWE27,LAMP   10W E27 LED IP65 6000K  DIMMABLE BEKEN 950LM
HYSFL10W,FLOOD LIGHT 10w LED 200-240vac  6500K 1000LM BLACK LUXUS
LDM60,MILWAUKEE LASER DISTANCE METER  60 METER (4933446110)
LT3100AB,DOWNLIGHT 50W 240V GU10 ANTIQU  E BRASS LITEHOUSE
MEGAPALM13,MEGAMAN 13W 230V PALM LAMP  COOL WHITE gx53
MET,GAS LEAK DETECTOR
MSA200,TRITON MULTI STAND
N7440030,RCD 4P 40A  30MA ME GROUP
PEN25,EARTHING NUT 25mm beln25-pk10
PEN32,EARTHING NUT 32mm
PEN40,EARTHING NUT 40mm
PEN50,EARTHING NUT 50mm
PEN63,EARTHING NUT 63mm
PRW811,1G 2WAY SWITCH WIDE ROCKER  POLAR WHITE
PRW812,2G 2WAY SWITCH WIDE ROCKER  POLAR WHITE
PRW813,3G 2WAY SWITCH WIDE ROCKER  POLAR WHITE
S71PB16,MCB 1P  16A B CURVE ME GROUP
S71PB20,MCB 1P  20A B CURVE ME GROUP
SAFETY AIR,CLEANER/SANITIZER FOR AIR CON
STOPICE512,HEATING TAPE STOP ICE 5MTR KIT  PER MTR RAY TECH 12W
VUTECKIT4CH,CAMERA SYSTEM 4 CHANNEL DVR C\  W 2 DOMES 2 BULETS 500GB
1401250,LADDER 5 STEP 1m BRENNANSTUHL
CEDFSPSNB,FLAT 1G 13A SW FUSED SPUR C\W  NEON CHROME BLACK INSERT CED
CEDFTVS2,FLAT 2G TV BRUSHED CHROME  BLACK INSERT CED
CL702,ARCHITRAVE 2G BOX CLIPSAL
FLED50A,HALOGEN WITH 45 LEDS MAX 3W 23  0v IP44 245lm
HLO1111,LAMP   11W BC T2 MINI SPIRAL  HALO LIGHT CFL 11W=60W 10000hr
HLO5402,LAMP 3W BC MINI TUBE HALO LIGH  T 3w = 25w 10000hr
HLO5403,LAMP 7W ES MINI TUBE CFL HALO  LIGHT 7w=40w 10000hr
HLO5412,LAMP 11W ES MINI GLS CFL HALO  LIGHT 11w=60w 10000hr
HLO5414,LAMP   11W SBC MINI GLS CFL  HALO LIGHT 11W=60W 10000hr
HLO5417,LAMP 11W SBC 60mm GLOBE CFL  HALO LIGHT 11w=60w 10000hr
HLO5422,LAMP 7W ES CANDLE CFL HALO LIG  HT 7w=40w 10000hr
HLO5426,LAMP 7W SBC CANDLE CFL HALO LI  GHTS 7w=40w 10000hr
HLO5428,LAMP 9W ES R63 CFL HALO LIGHT  9w=50w 10000hr
HLO5433,LAMP 7W BC CFL HALO LIGHT  7w=40w 10000hr
HLO5437,LAMP    7W ES CFL HALO LIGHT  7W=40W 10000hr
HLO5532,LAMP 5W SBC 60MM GOLFBALL HALO  LIGHT 5w=25w 10000hr
HLO741124,LED IP65 LIGHT 18W 665MM PURE  WHITE 5500K 24VDC HALO
HLO8419,LAMP   18W=100W ES SPRIAL COLO  UR 4000K COOL WHITE HALO
N7463030,RCD 4P 63A  30MA ME GROUP
NO16TE,6242Y 16mm TWIN & 10mm EARTH  100mtr COIL BLUE BROWN & BARE
S71PB25,MCB 1P  25A B CURVE ME GROUP
S71PB32,MCB 1P  32A B CURVE ME GROUP
S71PB40,MCB 1P  40A B CURVE ME GROUP
S71PB50,MCB 1P  50A B CURVE ME GROUP
S71PB63,MCB 1P  63A B CURVE ME GROUP
S73PC06,MCB 3P   6A C CURVE ME GROUP
S73PC10,MCB 3P  10A C CURVE ME GROUP
S73PC20,MCB 3P  20A C CURVE ME GROUP
S73PC40,MCB 3P  40A C CURVE ME GROUP
S73PC50,MCB 3P  50A C CURVE ME GROUP
S73PC63,MCB 3P  63A C CURVE ME GROUP
ZB4BW313,PUSHBUTTON HEAD WHITE FLUSH  SCHNEIDER
ZBG455,TELEMECANIQUE SPARE SET OF  KEYS FOR KEY SWITCH
ZBVG1,SCHNEIDER LED 110-120VAC FOR  AB4 RANGE
31120,INTERPACT 100A 3 POLE MERLIN
LA7 D1064,DIN RAIL OVERLOAD MOUNTING  PLATE
LC1D40V7,CONTACTOR  40A 400V 1N/O+1N/C  TELEMECANIQUE
LX1D6P7,TELEMECANIQUE 230V COIL
LX1D6V7,TELEMECANIQUE 380V COIL
A9A26946,MCB SHUNT ACTI9 IMX-OF  100-415VAC 110-130 VDC
LC1D40P7,CONTACTOR  40A 230V 1N/O+1N/C  TELEMECANIQUE
24341,MCB 2P  40A C CURVE MERLIN
LA1SK20,AUX CONTACT 2 N/O CONTACTS
STATIONERY,ENTER DESCRIPTION
TESTING,TESTING / CERTIFICATION
CRIMPER,HYPER CRIMPER FOR CUSTOMER USE - LOAN
RESTOCK,RESTOCKING CHARGE
002072S6,KNIPEX PLIERS SET 3 PIECE  KNIFE AND BELT POUCH
167389,TIME SWITCH 1 MODULE 24 HOUR  EATON
17001/17144,FAN 100mm INLINE VORTICE 23W  MOVES 255 CUBIC MTRSPER HRip44
17003,FAN 150mm INLINE VORTICE  MOVES 550 CUBIC MTRSPER HRip44
247596,EXPANDING FOAM HAND HELD 750ML  TIMCO
48221901,MILWAUKEE FLIP UTILITY KNIFE 4932352622
48221903,MILWAUKEE FLIP KNIFE
48228100,MILWAUKEE ELECTRICIANS POUCH
48228110,MILWAUKEE ELECTRICIANS TOOL BELT
48281030,MILWAUKEE EXTENSION 7/16 HEX SHANK QUICK LOCK 140MM
48660061,MILWAUKEE 1/2 -HEX HEAD ADAPTOR
4932218111,MILWAUKEE KEYED CHUCK 1.5-13
4932274351,MILWAUKEE JIGSAW
4932352314,MILWAUKEE 7 TIMBER BLADE
4932352468,MILWAUKEE HSS 19PC SET IN CASE
4932352630,MILWAUKEE CORE DRILL BIT 68mm DIAMOND CORE
4932352938,MILWAUKEE SHOCKWAVE KNUCKLE SET 11 PIECE IMPACT DUTY BITS
4932356504,MILWAUKEE SDS DRILL BIT 20x250MM
4932364267,MILWAUKEE KEYLESS CHUCK 1.5-13mm
4932364382,MILWAUKEE KEYLESS CHUCK 1.0-10 1/2
4932367013,MILWAUKEE SDS DRILL BIT 8mm 460-400
4932367017,MILWAUKEE SDS 12mmx1MTR BIT
4932367025,MILWAUKEE SDS 20mmx600mm BIT
4932367029,MILWAUKEE SDS 22x1000 MASONARY BIT M2
4932367068,MILWAUKEE SDS 12mmx600mm BIT
4932367069,MILWAUKEE SDS 16mmx600mm BIT
4932367166,MILWAUKEE CHUCK ADAPTOR 1/2
4932376533,MILWAUKEE KEYLESS CHUCK 1.5-13 1/2
4932430087,MILWAUKEE CHARGER 6 BAY
4932430851,MILWAUKEE SHOCKWAVE IMPACT PH1 90mm
4932430856,MILWAUKEE SHOCKWAVE IMPACT PH2 90mm
4932430863,MILWAUKEE SHOCKWAVE PZ2 X 2PK
4932430908,MILWAUKEE 40 PIECE SHOCKWAVE  DRIVE SET
4932451080,MILWAUKEE M12-18FC FAST CHARGE  new code m1218fc
4932451395,MILWAUKEE M12 6AH BATTERY
4932451464,MILWAUKEE SDS+MX4 SET SDS+DRIL  BITS 7 PC
4932459280,MILWAUKEE SDS+FLAT CHISEL 20mm
4932464066,MILWAUKE 5 PIEC INSULATED SCRE  DRIVER SET
4932472069,MILWAUKEE ADAPTOR HEX TO 1/2
4932478758,MILWAUKEE RUBBER CASE FOR 3/8  M12
4932478759,MILWAUKEE RUBBER CASING FOR  M12 DIE GRINDER
4932478760,MILWAUKEE RUBBER CASING FOR  1  M18 GUN
4932478770,MILWAUKEE RUBBER CASING 3/8  M18 GUN
4932479096,MILWAUKEE 1\4  SOCKET SET
4933440296,MILWAUKEE 110V 9  GRINDER
4933440410,MILWAUKEE M12 FUEL COMPACT 1/4  HEX IMPACT DRIVER NAKEDM12CIDO
4933440460,MILWAUKEE M12CIW38-O  12V 3/8 IMPACT WRENCH
4933440915,MILWAUKEE 9  ANGLE GRINDER 110
4933446203,MILWAUKEE M18 COMPACT MULTI  TOOL NAKED M18BMT-0
4933446223,MILWAUKEE SKILL SAW 18V BARE  UNIT NO CASE
4933451076,MILWAUKEE M18FPP2A502X 18V 5AH  DRILL & DRIVER
4933451151,MILWAUKEE IMPACT DRIVER 18V  BODY ONLY
4933451223,MILWAUKEE 4 INCH GRINDER  240 VOLT
4933451252,MILWAUKEE M18 JSRDAB+0 RADIO
4933451542,MILWAUKEE M18CAG115XPDB  BRAKING GRINDER
4933451899,MILWAUKEE LED TORCH 12V
493345274005,MILWAUKEE IMPACT DRIVER 18V  BODY ONLY
M18FDG-0,MILWAUKEE M18 DIE GRINDER  NAKED UNIT ONLY
4933459726,MILWAUKEE 1\2  BARE IMPACT WRE  NCH
4933459734N,MILWAUKEE 1  GUN BARE UNIT 18V
4933464728,MILWAUKEE 18V JIGSAW C/W 2 BAT  TERY 5AH & CHARGER
4933471740,MILWAUKEE M12 COMBI DRILL & IM  PACT DRIVER 2 BATT 1 CHARGER
4933471742,MILWAUKEE 6 IN 1 DRILL & CUT  OF SAW TWIN PACK M12 2 BATTERY
4933472103,MILWAUKEE SDS MAX DRILL & 18V  DRILL TWIN PACK 5AH
4933472104,MILWAUKEE 1/2  IMPACT WRENCH  & GREASE GUN 18V 5AH & CHARGER
M12FHIR38,MILWAUKEE M12 3/8  RATCHET M12 NAKED  4933478172
4933478774,MILWAUKEE 4  GRINDER NAKED
5120001,FUSE GLASS 100ma 5x20mm  QUICK BLOW (51202100)
661400,POWER SUPPLY 230V - 1.5-12 vdc  OUT PUT 600ma 13a WITH
6652,LAMP    6W R63 REFLECTOR LED  2700K 470LM
6669,LAMP    9.5W R80 REFLECTOR LED  2700K 780 LUMENS
802115S,TERMINAL PIN TYPE CONNECTOR  25mm
CAT5S,CAT5EFTP 4 PAIR SCREENED  305mtr BOX ENHANCED
CAT5US,CAT5EUTP 4 PAIR UNSCREENED  305mtr BOX ENHANCED
CAT6S,CABLE CAT 6 SCREENED  ENHANCED (PVC-FTP-LSZH-PURP
CAT6US,CAT 6 4 PAIR UNSCREENED  ENHANCED (PVC-UTP)
CMA770,MODE 2G 13A SWITCHED SK USB
CPH4T10,HEATER CREDA PANEL WITH TOUCH  CONTROL LCD & AUTO HEAT 1kW
CPH4T15,HEATER CREDA PANEL WITH TOUCH  CONTROL LCD & AUTO HEAT 1.5KW
CPH4T20,HEATER CREDA PANEL WITH TOUCH  CONTROL LCD & AUTO HEAT 2kw
CUL25318,LED CABINET LIGHT 1.5W 230V 14  0LM 3000K FORUM LAGHETTO S/S
DPAB535BK,DECO + 1G 13A SW SKT ANTIQUE BRASS BLACK CLICK
DPAB536BK,DECO + 2G 13A SW SCKT ANTIQUE  BRASS BLACK CLICK
ELLIPSE,TIME LAG SWITCH NO NEUTRAL  ELLIPSE
EM2WMEXHSIGNL,EMERGENCY HANGING LED EXIT  LIGHT ARROW = LEFT
ETLAGLED,TIME LAG SWITCH NO 12sec-12min  5W-300W 1.5A 2W ECLIPSE
EV15R,HEATER JOULETHERM 1500W CERAMI  C WIFI
EV20R,HEATER JOULETHERM 2000W CERAMI  C 114x58x8mm WIFI
GM2018PWMW,CLICK MODE 20A DP SW MECH  ENGRAVED MICROWAVE
GW44204,GEWISS WATERPROOF BOX 100x100x  50mm
GW44207,GEWISS WATERPROOF BOX 190x140x  70mm IP55
HT12DIM12S,DIMMER 1200W 1 CHANNEL ANALOGU  E  1200W DIMMING 0-100%
HT14POULTRY4200,T14 LED TUBE DIMMABLE 20W 360  4200K0.5MHT19 MALE POULTRY 1.2
HTT12AC30W15FD,LED MUSHROOM FITTING 30W  180ø 1.5M 6500K 1.5M FLEX ht19
HTT12AC30W15FSA,LED POULTRY FITTING  DIMMABLE  28W WHITE 4000K  10W  BLUE
HTT12AC30WBLUE,LED POULTRY FITTING BLUE  DIMMABLE  2X 1M  HT 19
HTT12MUSH4000,LED MUSHROOM FITTING 30W 180°  1.5M 4000K 1 5M HT19 FLEX
HTT12P270DE,LED POULTRY FITTING DIMMABLE 1  .5M 270ø6500K 1m HT19 BOTHEND
HTT12PIG1,LED PIG FITTING 30W 1.5M 180°  5000K  0.5M HT19 IP67
HTT12PIG16000,LED PIG LIGHT 30W 1.5M 270°  6000K1MCABLE HT19 IP67 DIMMABL
HTT12PIG2,LED PIG FITTING 30W 1.5M  180°  5000K 2x1 5M HT19 IP67
HTT12POULTRY270,LED POULTRY FITTING DIMMABLE  30W 270ø 4200K 1.5M  1M HT19
HTT12POULTRYDE,LED POULTRY DIM 180DEGREE  4200K1.2m HT19 2mt BOTHEND 25W
HTT14AC25W12FD,LED POULTRY FITTING 20W 360°  DIMMABLE 6000K 1.2 M T14 2M FL
HTT14PIG1360,LED PIG FITTING 25W 360° 1.5M  6000K  1M HT19
HTT8AC18W12FB,LED FRIDGE LIGHT 18W 180-265VA  C T8 6500K 1.2M IP67 .5M FLEX
HTTPOULTRY2700K,LED POULTRY FITTING DIMMABLE  30w 270ø 2700K 1.5M 1M HT19
HY3NCLY42W,LIGHT 48W COLOUR CHANGING 4300  LM 3000 4000 & 6500K CELIO
LPG13.520GNBL,GLAND+NUT 20mm BLACK LARGE QCGM20LBLK (10-14MM CABLE)
LPG13.520GNBS,GLAND+NUT 20mm BLACK SMALL QCGM20BLK (8-12MM CABLE)
M12FID602X,MILWAUKEE M12 IMPACT DRIVER  C/W 2 6AH BATTERY & CHARGER
M18BLPD2502X,MILWAUKEE 18V DRILL 2 5AH BATT  ERY & CHARGER BRUSHLESS
M18FPP2A2502X,MILWAUKEE 18V DRILL  2x5AH BATTERY CHARGER CASE
M18PACKOUTLARGE,TOTE 50CM BAG
